epoch,total_loss,recon_loss,kl_loss,music_loss
522,76.14,40.07,288.66,7.2
523,80.32,43.31,293.97,7.61
524,92.06,54.86,296.93,7.51
525,78.57,41.64,298.1,7.11
526,78.89,42.3,294.37,7.15
527,95.34,59.32,290.39,6.97
528,86.58,50.31,288.97,7.37
529,81.63,45.61,291.8,6.84
530,75.93,39.09,292.0,7.64
531,89.82,53.84,289.38,7.04
532,77.11,41.45,286.12,7.04
533,91.0,55.62,281.99,7.18
534,85.46,50.88,278.68,6.71
535,80.58,45.57,279.2,7.08
536,91.67,56.46,279.63,7.24
537,77.4,41.39,284.39,7.57
538,92.18,55.53,293.03,7.35
539,78.83,40.88,304.95,7.46
540,86.62,48.03,311.2,7.47
541,75.36,37.14,311.62,7.06
542,75.43,37.39,308.54,7.19
543,86.72,48.98,306.01,7.14
544,78.75,41.17,302.46,7.33
545,78.47,40.57,303.42,7.56
546,73.77,36.27,304.02,7.1
547,85.85,48.4,301.62,7.28
548,86.94,49.0,304.05,7.54
549,76.64,38.82,309.98,6.82
550,84.16,46.31,307.87,7.06
551,74.67,36.68,305.91,7.4
552,75.62,37.78,301.56,7.68
553,75.91,38.71,298.07,7.4
554,72.59,36.04,294.14,7.14
555,75.65,39.72,290.45,6.88
556,71.92,35.92,287.17,7.28
557,89.64,53.75,285.52,7.34
558,75.07,39.62,283.9,7.06
559,87.24,52.21,281.05,6.93
560,93.29,57.9,282.04,7.18
561,96.0,60.38,284.15,7.2
562,71.43,35.54,287.28,7.16
563,72.49,36.64,287.7,7.08
564,75.46,39.63,286.3,7.2
565,81.89,45.73,286.04,7.56
566,74.68,38.16,290.68,7.46
567,75.84,39.49,291.56,7.19
568,71.71,36.04,288.12,6.86
569,73.78,38.3,283.87,7.09
570,85.9,50.34,280.62,7.49
571,76.23,40.41,283.2,7.5
572,75.64,39.82,286.04,7.21
573,73.32,37.58,285.94,7.14
574,96.38,60.47,285.91,7.32
575,95.58,59.91,284.7,7.2
576,112.07,76.1,285.25,7.45
577,77.25,42.04,283.46,6.87
578,88.27,52.95,281.04,7.22
579,97.72,62.39,278.8,7.45
580,76.31,41.13,278.01,7.37
581,94.61,59.39,279.0,7.32
582,74.68,39.52,282.01,6.95
583,86.95,51.59,282.86,7.07
584,89.83,54.36,282.03,7.27
585,96.64,61.98,278.97,6.76
586,78.06,43.25,277.97,7.01
587,84.16,48.65,278.83,7.63
588,74.78,39.91,280.21,6.86
589,79.59,44.18,279.31,7.48
590,97.57,62.32,278.07,7.44
591,89.92,54.35,279.25,7.64
592,71.25,35.47,282.11,7.57
593,91.44,55.78,281.68,7.49
594,79.51,43.73,283.36,7.44
595,76.71,40.93,283.1,7.47
596,117.6,81.68,285.47,7.37
597,71.71,35.38,289.63,7.37
598,72.18,36.25,288.43,7.09
599,100.8,65.01,285.55,7.24
600,74.93,39.04,284.61,7.43
